IdLugarSalida,Lugar Salida,IdTranspSalidad,Transporte Internacional de Salida,FechaSalida,IdFecSalida,FechaEntrada,IdFecEntrada,IdNacionalidad,Pais,IdDeptoResidencia,Departamento,IdMotivo,Motivo,IdOcupacion,Ocupacion,IdNivelEstudio,Estudio,IdDestino,Destino,IdAlojamiento,Alojamiento,IdLugarIngreso,Lugar Ingreso,IdTranspIngreso,Transporte Internacional de Ingreso,IdTranspLocal,Trasporte Local,Estadia,Gente,GastoTotal,GastoAlojamiento,GastoAlimentacion,GastoTransporteInternac,GatoTransporteLocal,GastoCultural,GastoTours,GastoCompras,GastoResto,Coef,CoefTot
17,Melo - Aceguá,2,Terrestre Auto,2024-09-06,16320,2024-09-16,16330,1,Uruguay,43,Tacuarembo,1,"Ocio, Recreo, Vacaciones",25,Trabajador dependiente,,,20,Brasil,2,Appart Hotel,17,Melo - Aceguá,2,Terrestre Auto,1,Auto propio,10,7,2000.0,800.0,450.0,0.0,220.0,243.27,0.0,206.16,80.56,265.46,1858.25
10,Salto,2,Terrestre Auto,2023-10-19,15997,2023-10-25,16003,1,Uruguay,43,Tacuarembo,1,"Ocio, Recreo, Vacaciones",16,"Empl. Adm, Cajero, Vendedor",4.0,Secundaria completa,10,Argentina,1,Hotel,10,Salto,2,Terrestre Auto,1,Auto propio,6,3,600.0,162.74,151.86,0.0,168.48,0.0,0.0,116.92,0.0,504.47,1513.42
1,Colonia,5,Maritimo - Fluvial,2017-03-11,13584,2017-03-15,13588,1,Uruguay,21,Montevideo,1,"Ocio, Recreo, Vacaciones",16,"Empl. Adm, Cajero, Vendedor",4.0,Secundaria completa,10,Argentina,1,Hotel,1,Colonia,5,Maritimo - Fluvial,0,Sin Datos,4,2,1112.0,320.0,200.0,70.0,96.0,228.0,0.0,268.0,0.0,150.92,301.84
7,Fray Bentos,2,Terrestre Auto,2018-09-15,14137,2018-09-18,14140,1,Uruguay,13,Soriano,1,"Ocio, Recreo, Vacaciones",15,"Obrero esp, Conductor, Artesano",3.0,Secundaria incompleta,10,Argentina,6,Vivienda Familiares / Amigos,7,Fray Bentos,2,Terrestre Auto,1,Auto propio,3,4,243.41,0.0,106.49,0.0,51.73,0.0,0.0,46.17,39.02,172.66,690.66
3,Aeropuerto de Carrasco,1,Aereo,2022-12-17,15691,2022-12-22,15696,1,Uruguay,21,Montevideo,2,Visita familiares / amigos,13,"Prof, Tecnico, Docente, Artista",6.0,Terciaria completa,10,Argentina,1,Hotel,3,Aeropuerto de Carrasco,1,Aereo,4,Auto familiares / amigos,5,1,800.0,200.0,150.0,280.0,0.0,0.0,0.0,186.96,263.04,161.61,161.61
3,Aeropuerto de Carrasco,1,Aereo,2017-07-17,13712,2017-07-27,13722,1,Uruguay,43,Tacuarembo,1,"Ocio, Recreo, Vacaciones",13,"Prof, Tecnico, Docente, Artista",6.0,Terciaria completa,31,Chile,12,"Cabañas, Bungalows",3,Aeropuerto de Carrasco,1,Aereo,0,Sin Datos,10,2,2700.0,767.37,500.0,920.0,412.63,400.0,0.0,600.0,20.0,106.2,212.39
13,Rivera,2,Terrestre Auto,2020-01-20,14629,2020-02-04,14644,1,Uruguay,42,Florida,1,"Ocio, Recreo, Vacaciones",13,"Prof, Tecnico, Docente, Artista",6.0,Terciaria completa,20,Brasil,5,Vivienda Arrendada,13,Rivera,2,Terrestre Auto,1,Auto propio,15,4,1200.0,734.59,382.04,0.0,83.36,0.0,0.0,0.0,0.0,112.12,448.47
3,Aeropuerto de Carrasco,1,Aereo,2017-08-13,13739,2017-08-16,13742,1,Uruguay,21,Montevideo,2,Visita familiares / amigos,2,Ama de casa,4.0,Secundaria completa,10,Argentina,6,Vivienda Familiares / Amigos,3,Aeropuerto de Carrasco,1,Aereo,0,Sin Datos,3,1,225.0,0.0,100.0,225.0,0.0,74.58,0.0,0.0,50.42,125.41,125.41
1,Colonia,5,Maritimo - Fluvial,2019-07-16,14441,2019-07-22,14447,1,Uruguay,21,Montevideo,2,Visita familiares / amigos,1,"Jubilado, Pensionista",3.0,Secundaria incompleta,10,Argentina,6,Vivienda Familiares / Amigos,1,Colonia,5,Maritimo - Fluvial,4,Auto familiares / amigos,6,1,402.03,0.0,116.57,121.82,194.43,0.0,0.0,91.03,0.0,398.34,398.34
3,Aeropuerto de Carrasco,1,Aereo,2017-01-10,13524,2017-01-22,13536,1,Uruguay,21,Montevideo,1,"Ocio, Recreo, Vacaciones",13,"Prof, Tecnico, Docente, Artista",6.0,Terciaria completa,20,Brasil,5,Vivienda Arrendada,3,Aeropuerto de Carrasco,1,Aereo,0,Sin Datos,12,4,850.0,350.0,253.97,0.0,111.11,79.37,0.0,55.56,0.0,129.04,516.18
